time	V(out)	V(n001)	V(n002)
0.000000000000000e+000	4.563358e-004	3.499800e-007	0.000000e+000
2.318443535513937e-013	4.563358e-004	3.499814e-007	1.217543e-005
4.636887071027874e-013	4.563358e-004	3.499865e-007	3.098702e-005
6.955330606541811e-013	4.563358e-004	3.499952e-007	5.643478e-005
9.273774142055749e-013	4.563358e-004	3.500075e-007	8.851869e-005
1.159221767756969e-012	4.563358e-004	3.500235e-007	1.272388e-004
1.391066121308362e-012	4.563358e-004	3.500431e-007	1.725950e-004
1.622910474859755e-012	4.563358e-004	3.500663e-007	2.245874e-004
3.599039898557259e-011	4.563358e-004	3.895139e-007	7.085888e-003
7.035788749628543e-011	4.563359e-004	5.183815e-007	1.391866e-002
1.047253760069983e-010	4.563360e-004	7.366692e-007	2.072290e-002
1.390928645177111e-010	4.563361e-004	1.044377e-006	2.749860e-002
1.734603530284240e-010	4.563362e-004	1.441505e-006	3.424578e-002
2.078278415391368e-010	4.563364e-004	1.928053e-006	4.096443e-002
2.421953300498496e-010	4.563366e-004	2.504020e-006	4.765454e-002
4.503779778667953e-010	4.563387e-004	7.894038e-006	8.757306e-002
8.667432735006869e-010	4.563467e-004	2.806901e-005	1.644104e-001
1.699473864768470e-009	4.563752e-004	9.855622e-005	3.084639e-001
2.891719208685827e-009	4.564410e-004	2.606417e-004	4.951878e-001
4.547885841778322e-009	4.565771e-004	5.941961e-004	7.199863e-001
6.781879912951253e-009	4.568294e-004	1.211597e-003	9.698166e-001
9.771732439891391e-009	4.572648e-004	2.275937e-003	1.228329e+000
1.370986019117041e-008	4.579638e-004	3.984472e-003	1.471226e+000
1.892659842537438e-008	4.590351e-004	6.603137e-003	1.679981e+000
2.522972910209168e-008	4.604644e-004	1.009846e-002	1.827022e+000
3.272380449784639e-008	4.622721e-004	1.452235e-002	1.916871e+000
4.187643881738855e-008	4.645554e-004	2.011518e-002	1.966567e+000
5.187643881738855e-008	4.670898e-004	2.632901e-002	1.988316e+000
7.044786738881714e-008	4.718354e-004	3.798170e-002	1.993322e+000
