time	V(out)	V(n001)	V(n002)
0.000000000000000e+000	4.563358e-004	3.499800e-007	0.000000e+000
7.714285742269240e-014	4.563358e-004	3.500111e-007	3.443013e-006
1.542857148453848e-013	4.563358e-004	3.501074e-007	1.408332e-005
2.314285722680772e-013	4.563358e-004	3.502688e-007	3.192093e-005
3.085714296907696e-013	4.563358e-004	3.504953e-007	5.695583e-005
3.857142871134620e-013	4.563358e-004	3.507870e-007	8.918803e-005
4.628571445361544e-013	4.563358e-004	3.511437e-007	1.286175e-004
5.400000019588466e-013	4.563358e-004	3.515655e-007	1.752443e-004
1.000000000000000e-012	4.563358e-004	3.545038e-007	4.999914e-004
1.387265218560048e-011	4.563351e-004	1.264806e-006	1.336324e-002
2.674530437120096e-011	4.563371e-004	3.845520e-006	2.620799e-002
3.961795655680145e-011	4.563417e-004	8.096647e-006	3.903426e-002
5.249060874240193e-011	4.563490e-004	1.401819e-005	5.184204e-002
6.536326092800240e-011	4.563590e-004	2.161014e-005	6.463133e-002
7.823591311360288e-011	4.563717e-004	3.087250e-005	7.740213e-002
9.110856529920334e-011	4.563870e-004	4.180528e-005	9.015445e-002
1.513388129750909e-010	4.565264e-004	1.166584e-004	1.495590e-001
2.513388129750909e-010	4.569451e-004	3.051954e-004	2.474759e-001
3.513388129750909e-010	4.576157e-004	5.728536e-004	3.445158e-001
4.513388129750909e-010	4.585778e-004	9.276075e-004	4.405900e-001
5.513388129750909e-010	4.598355e-004	1.368586e-003	5.357082e-001
6.513388129750909e-010	4.613881e-004	1.894930e-003	6.298798e-001
7.513388129750908e-010	4.632334e-004	2.505793e-003	7.231144e-001
8.513388129750908e-010	4.653688e-004	3.200335e-003	8.154212e-001
9.513388129750908e-010	4.677913e-004	3.977726e-003	9.068095e-001
1.051338812975091e-009	4.704982e-004	4.837143e-003	9.972884e-001
1.151338812975091e-009	4.734866e-004	5.777773e-003	1.086867e+000
1.251338812975091e-009	4.767538e-004	6.798808e-003	1.175554e+000
1.351338812975091e-009	4.802970e-004	7.899450e-003	1.263359e+000
1.451338812975091e-009	4.841134e-004	9.078909e-003	1.350290e+000
1.551338812975091e-009	4.882003e-004	1.033640e-002	1.436355e+000
1.751338812975091e-009	4.971751e-004	1.308240e-002	1.605926e+000
1.951338812975091e-009	5.072001e-004	1.613133e-002	1.772139e+000
2.151338812975092e-009	5.182546e-004	1.947720e-002	1.935061e+000
2.351338812975092e-009	5.303181e-004	2.311414e-002	2.094756e+000
2.651338812975092e-009	5.502618e-004	2.910275e-002	2.328389e+000
2.951338812975092e-009	5.723654e-004	3.571437e-002	2.555116e+000
3.251338812975092e-009	5.965650e-004	4.293060e-002	2.775142e+000
3.708481670117950e-009	6.378030e-004	5.518514e-002	3.096476e+000
4.165624527260808e-009	6.830741e-004	6.860301e-002	3.404912e+000
4.622767384403665e-009	7.323783e-004	8.318420e-002	3.700450e+000
5.079910241546523e-009	7.857155e-004	9.892872e-002	3.983089e+000
5.537053098689381e-009	8.430857e-004	1.158366e-001	4.252831e+000
5.994195955832238e-009	9.044891e-004	1.339077e-001	4.509674e+000
6.451338812975095e-009	9.699254e-004	1.531422e-001	4.753620e+000
