time	V(out)	V(n001)	V(n002)
0.000000000000000e+000	4.563358e-004	3.499800e-007	0.000000e+000
3.607165796628296e-012	4.563358e-004	3.515380e-007	2.480007e-005
7.214331593256592e-012	4.563358e-004	3.537664e-007	6.027657e-005
1.082149738988489e-011	4.563358e-004	3.566652e-007	1.064295e-004
1.442866318651319e-011	4.563358e-004	3.602346e-007	1.632588e-004
1.803582898314148e-011	4.563358e-004	3.644743e-007	2.307646e-004
2.164299477976978e-011	4.563359e-004	3.693846e-007	3.089468e-004
2.525016057639806e-011	4.563359e-004	3.749652e-007	3.978055e-004
4.062040119760735e-011	4.563359e-004	4.100137e-007	9.559636e-004
6.214113515136662e-011	4.563361e-004	4.842843e-007	2.139010e-003
9.258304081158904e-011	4.563366e-004	6.453072e-007	4.704698e-003
1.434177043484177e-010	4.563388e-004	1.074972e-006	1.155363e-002
2.450870314220750e-010	4.563510e-004	2.535572e-006	3.484669e-002
4.484256855693898e-010	4.564023e-004	7.001661e-006	1.060915e-001
5.933226917053707e-010	4.564667e-004	1.141633e-005	1.765290e-001
7.102059877280381e-010	4.565434e-004	1.588250e-005	2.477954e-001
7.662334079546653e-010	4.565922e-004	1.837591e-005	2.875845e-001
8.782882484079196e-010	4.567160e-004	2.402244e-005	3.776926e-001
1.012171175159208e-009	4.568916e-004	3.139920e-005	4.952165e-001
1.182567627388121e-009	4.572104e-004	4.275441e-005	6.553665e-001
1.377306429935449e-009	4.576968e-004	5.817274e-005	8.342981e-001
1.766784035030107e-009	4.590454e-004	9.652202e-005	1.179553e+000
2.545739245219422e-009	4.631430e-004	2.012371e-004	1.823054e+000
4.103649665598052e-009	4.754892e-004	4.937428e-004	2.970702e+000
6.145870204563283e-009	4.987914e-004	1.019735e-003	4.236104e+000
9.034742839946453e-009	5.431866e-004	1.992992e-003	5.642042e+000
1.265445632980951e-008	6.127832e-004	3.492995e-003	6.933981e+000
1.716806306754917e-008	7.154162e-004	5.682472e-003	8.011354e+000
2.329738223625763e-008	8.717718e-004	8.998923e-003	8.901094e+000
3.007690149077071e-008	1.057949e-003	1.293659e-002	9.435957e+000
3.877271448201350e-008	1.307372e-003	1.820657e-002	9.756988e+000
4.908769062261941e-008	1.609609e-003	2.459462e-002	9.910685e+000
6.342874338366916e-008	2.033478e-003	3.356525e-002	9.976656e+000
1.694371864380640e-007	5.150700e-003	1.001561e-001	9.999340e+000
2.801967571039062e-007	8.350106e-003	1.697379e-001	9.999332e+000
5.017158984355906e-007	1.457693e-002	3.088515e-001	9.999334e+000
5.821596262161819e-007	1.683887e-002	3.593812e-001	9.999338e+000
6.626033539967732e-007	1.907441e-002	4.098967e-001	9.999340e+000
7.430470817773646e-007	2.128358e-002	4.603979e-001	9.999341e+000
8.234908095579559e-007	2.346635e-002	5.108848e-001	9.999341e+000
9.039345373385472e-007	2.562274e-002	5.613575e-001	9.999339e+000
9.843782651191387e-007	2.775274e-002	6.118159e-001	9.999337e+000
1.064821992899730e-006	2.985635e-002	6.622601e-001	9.999333e+000
1.065928183160247e-006	3.027554e-002	6.630734e-001	9.999333e+000
1.066551157131225e-006	3.170013e-002	6.638452e-001	9.999333e+000
1.066902609530778e-006	3.395054e-002	6.645475e-001	9.999333e+000
1.067102244837681e-006	3.630067e-002	6.650166e-001	9.999333e+000
1.067361217124054e-006	4.040100e-002	6.655930e-001	9.999333e+000
1.067442829709201e-006	4.188987e-002	6.657301e-001	9.999333e+000
1.067495263167653e-006	4.291641e-002	6.657842e-001	9.999333e+000
1.067525301316782e-006	4.351166e-002	6.658071e-001	9.999333e+000
1.067560958822459e-006	4.422132e-002	6.658309e-001	9.999333e+000
1.067593212922448e-006	4.486468e-002	6.658507e-001	9.999333e+000
1.067626395324336e-006	4.552765e-002	6.658699e-001	9.999333e+000
1.067672443365149e-006	4.644866e-002	6.658950e-001	9.999333e+000
