time	V(out)	V(n001)	V(n002)
0.000000000000000e+000	4.563358e-004	3.499800e-007	0.000000e+000
3.607165796628296e-012	4.563358e-004	3.515380e-007	2.480007e-005
7.214331593256592e-012	4.563358e-004	3.537664e-007	6.027657e-005
1.082149738988489e-011	4.563358e-004	3.566652e-007	1.064295e-004
1.442866318651319e-011	4.563358e-004	3.602346e-007	1.632588e-004
1.803582898314148e-011	4.563358e-004	3.644743e-007	2.307646e-004
2.164299477976978e-011	4.563358e-004	3.693846e-007	3.089468e-004
2.525016057639806e-011	4.563358e-004	3.749652e-007	3.978055e-004
4.062040119760735e-011	4.563358e-004	4.100137e-007	9.559636e-004
6.214113515176903e-011	4.563359e-004	4.842842e-007	2.139010e-003
9.258304081330217e-011	4.563359e-004	6.453067e-007	4.704698e-003
1.434177043600133e-010	4.563361e-004	1.074969e-006	1.155363e-002
2.450870314534357e-010	4.563374e-004	2.535549e-006	3.484669e-002
4.484256856402803e-010	4.563426e-004	7.001543e-006	1.060915e-001
5.933226916263109e-010	4.563492e-004	1.141608e-005	1.765290e-001
7.102059880279391e-010	4.563570e-004	1.588209e-005	2.477954e-001
7.662334071967437e-010	4.563620e-004	1.837539e-005	2.875845e-001
8.782882455343529e-010	4.563746e-004	2.402164e-005	3.776926e-001
1.012171175446565e-009	4.563925e-004	3.139800e-005	4.952165e-001
1.182567631698471e-009	4.564251e-004	4.275245e-005	6.553665e-001
1.377306438843506e-009	4.564747e-004	5.816959e-005	8.342981e-001
1.766784053133577e-009	4.566124e-004	9.651553e-005	1.179553e+000
2.545739281713719e-009	4.570306e-004	2.012206e-004	1.823054e+000
4.103649738874003e-009	4.582908e-004	4.937000e-004	2.970698e+000
6.146041957552669e-009	4.606697e-004	1.019695e-003	4.236194e+000
9.035060564798261e-009	4.652019e-004	1.992938e-003	5.642169e+000
1.265507831817560e-008	4.723074e-004	3.493030e-003	6.934093e+000
1.717193951426343e-008	4.827924e-004	5.684061e-003	8.012073e+000
2.329947640670272e-008	4.987495e-004	8.999533e-003	8.901342e+000
3.008136784707212e-008	5.177622e-004	1.293858e-002	9.436196e+000
3.877550282318715e-008	5.432195e-004	1.820752e-002	9.757058e+000
4.909434742030788e-008	5.740846e-004	2.459797e-002	9.910736e+000
6.343403448492765e-008	6.173503e-004	3.356773e-002	9.976670e+000
2.064815290246413e-007	1.043403e-003	1.234405e-001	9.989915e+000
3.495290235643550e-007	1.462680e-003	2.132918e-001	9.999824e+000
4.925765181040687e-007	1.875181e-003	3.031215e-001	1.000640e+001
6.356240126437824e-007	2.280908e-003	3.929296e-001	1.000964e+001
7.786715071834961e-007	2.679859e-003	4.827161e-001	1.000954e+001
9.217190017232098e-007	3.072035e-003	5.724811e-001	1.000610e+001
1.064766496262923e-006	3.457436e-003	6.622245e-001	9.999333e+000
1.065867992573351e-006	3.496801e-003	6.630245e-001	9.999333e+000
1.066488324549419e-006	3.631704e-003	6.637754e-001	9.999333e+000
1.066832802773841e-006	3.847526e-003	6.644571e-001	9.999333e+000
1.067041092903325e-006	4.092872e-003	6.649474e-001	9.999333e+000
1.067306854794194e-006	4.523479e-003	6.655514e-001	9.999333e+000
1.067420106365025e-006	4.739046e-003	6.657736e-001	9.999333e+000
1.067456263342018e-006	4.814174e-003	6.658223e-001	9.999333e+000
1.067492737834725e-006	4.891840e-003	6.658545e-001	9.999333e+000
1.067535050331204e-006	4.982572e-003	6.658857e-001	9.999333e+000
1.067579689060819e-006	5.078790e-003	6.659145e-001	9.999333e+000
1.067634306227716e-006	5.197014e-003	6.659461e-001	9.999333e+000
1.067710251739346e-006	5.361957e-003	6.659867e-001	9.999333e+000
1.067795533736324e-006	5.547709e-003	6.660295e-001	9.999333e+000
1.067933938101068e-006	5.849866e-003	6.660960e-001	9.999333e+000
1.068081948058868e-006	6.173574e-003	6.661653e-001	9.999333e+000
